ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(11),SORTESENTSUMMARY.TXT,0.27778,0.07692,0.12048,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(11),PRTWEETSUMMARY.TXT,0.30556,0.14667,0.1982,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(11),SORTETWEETSUMMARY.TXT,0,0,0,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(11),PRSENTSUMMARY.TXT,0.41667,0.22388,0.29126,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,SORTESENTSUMMARY.TXT,PRTWEETSUMMARY.TXT,SORTETWEETSUMMARY.TXT,PRSENTSUMMARY.TXT,
,ASIANA AIRLINES FLIGHT 214(11),0.27778,0.30556,0,0.41667,
